"id","processed","name_wd","name_rdl","name_pae","units_wd_id","units_rdl_id","value_min_PAE","value_max_PAE","value_min_RDL","value_max_RDL","value_null","asociado_id","group_id","group_sensor_id","import","required_rdl","required_pae","create_date"
"1901","PROCESSED","DIR-ROP_Promedio_Trep"," ","","17","17","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1902","PROCESSED","DIR-RPM_Motor_fondo"," ","","8","8","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1903","PROCESSED","DIR-RPM_Turbina"," ","","8","8","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1904","PROCESSED","DIR-RSS_TF_Duty_Cicle"," ","","56","56","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1905","PROCESSED","DIR-RSS_TF_Target"," ","","30","30","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1906","PROCESSED","DIR-S_track/Seccion_Hoyo"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1907","PROCESSED","DIR-Seccion_Vert"," ","","10","10","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1908","PROCESSED","DIR-Sens_GR_Azim_(MD)"," ","","10","10","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1909","PROCESSED","DIR-Sens_GR_Azim_(TVD)"," ","","10","10","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1910","PROCESSED","DIR-Sens_Res_Profundo_(MD)"," ","","10","10","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1911","PROCESSED","DIR-Sens_Res_Profundo_(TVD)"," ","","10","10","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1912","PROCESSED","DIR-Sens_Res_Somero_(MD)"," ","","10","10","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1913","PROCESSED","DIR-Sens_Res_Somero_(TVD)"," ","","10","10","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1914","PROCESSED","DIR-Sensor_Caliper_(MD)"," ","","10","10","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1915","PROCESSED","DIR-Sensor_Caliper_(TVD)"," ","","10","10","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1916","PROCESSED","DIR-Sensor_GR_(MD)"," ","","10","10","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1917","PROCESSED","DIR-Sensor_GR_(TVD)"," ","","10","10","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1918","PROCESSED","DIR-Stick_Slip"," ","","56","56","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1919","PROCESSED","DIR-Survey_(MD)"," ","","10","10","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1920","PROCESSED","DIR-Survey_(TVD)"," ","","10","10","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1921","PROCESSED","DIR-Temp_Fluido_fondo"," ","","72","72","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1922","PROCESSED","DIR-Temp_fondo"," ","","72","72","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1923","PROCESSED","DIR-TF_Grav"," ","","30","30","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1924","PROCESSED","DIR-TF_Mag"," ","","30","30","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1925","PROCESSED","DIR-Tiempo_cunias-fondo"," ","","40","40","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1926","PROCESSED","DIR-Tiempo_en_cunias"," ","","40","40","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1927","PROCESSED","DIR-Tiempo_fondo-cunias"," ","","40","40","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1928","PROCESSED","DIR-Tiempo_Perf_Trep"," ","","31","31","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1929","PROCESSED","DIR-Tiempo_Pumps-Off"," ","","40","40","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1930","PROCESSED","DIR-Tiempo_Repaso_Trep"," ","","31","31","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1931","PROCESSED","DIR-Tipo_Survey"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1932","PROCESSED","DIR-Torque_en_fondo_(Max)"," ","","9","9","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1933","PROCESSED","DIR-Torque_en_fondo_(Prom)"," ","","9","9","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1934","PROCESSED","DIR-Turn_rate"," ","","70","70","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1935","PROCESSED","DIR-Vib_max_Axial_(y)"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1936","PROCESSED","DIR-Vib_max_Lat_(x)"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1937","PROCESSED","DIR-Vib_max_Tors_(z)"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1938","PROCESSED","DIR-Vib_Prom_x_(Lat)"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1939","PROCESSED","DIR-Vib_Prom_y_(Axial)"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1940","PROCESSED","DIR-Vib_Prom_z_(Tors)"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1941","PROCESSED","Direccion_Viento"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1942","PROCESSED","Display_Fast_ROP_Off_Bottom"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1943","PROCESSED","Display_Rot_Torque"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1944","PROCESSED","Display_WOB"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1945","PROCESSED","Drill_Fl_Level"," ","","26","26","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1946","PROCESSED","Drilling_Trigger_HKLD"," ","","7","7","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1947","PROCESSED","DWK_-_Celda_de_Carga_1"," ","","7","7","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1948","PROCESSED","DWK_-_Celda_de_Carga_2"," ","","7","7","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1949","PROCESSED","DWK_-_Celda_de_Carga_3"," ","","7","7","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1950","PROCESSED","DWK_-_E_Stop"," ","","18","18","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1951","PROCESSED","DWK_-_Falla_Bomba_1_HPU"," ","","18","18","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1952","PROCESSED","DWK_-_Falla_Bomba_2_HPU"," ","","18","18","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:31:26"
"1953","PROCESSED","DWK_-_Filtro_HPU_Obstruido"," ","","18","18","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:32:04"
"1954","PROCESSED","DWK_-_Freno_de_Estacionamiento"," ","","18","18","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:32:04"
